n = 50, OPT(1, n) = 15 (Done in 0.00370063 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.0324204 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.112948 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.272702 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.538037 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.931191 seconds)
n = 350, OPT(1, n) = 122 (Done in 1.48676 seconds)
n = 400, OPT(1, n) = 140 (Done in 2.22829 seconds)
n = 450, OPT(1, n) = 157 (Done in 3.17978 seconds)
n = 500, OPT(1, n) = 176 (Done in 4.37626 seconds)
n = 550, OPT(1, n) = 193 (Done in 5.83338 seconds)
n = 600, OPT(1, n) = 210 (Done in 7.58132 seconds)
n = 650, OPT(1, n) = 229 (Done in 9.66026 seconds)
n = 700, OPT(1, n) = 247 (Done in 12.101 seconds)
n = 750, OPT(1, n) = 264 (Done in 14.8859 seconds)
n = 800, OPT(1, n) = 285 (Done in 18.1148 seconds)
n = 850, OPT(1, n) = 304 (Done in 21.7286 seconds)
n = 900, OPT(1, n) = 322 (Done in 25.8001 seconds)
n = 950, OPT(1, n) = 340 (Done in 30.3675 seconds)
n = 1000, OPT(1, n) = 359 (Done in 35.4296 seconds)
n = 1200, OPT(1, n) = 429 (Done in 61.3578 seconds)
n = 1400, OPT(1, n) = 503 (Done in 97.6021 seconds)
n = 1600, OPT(1, n) = 574 (Done in 145.67 seconds)
n = 1800, OPT(1, n) = 645 (Done in 207.617 seconds)
n = 2000, OPT(1, n) = 716 (Done in 285.474 seconds)
